symbol,report_date
AEE,2008-08-01
AEE,2008-11-04
AEE,2009-02-13
AEE,2009-05-01
AEE,2009-08-06
AEE,2009-10-30
AEE,2010-02-18
AEE,2010-05-05
AEE,2010-08-05
AEE,2010-10-29
AEE,2011-02-22
AEE,2011-05-05
AEE,2011-08-04
AEE,2011-11-04
AEE,2012-02-23
AEE,2012-05-04
AEE,2012-08-02
AEE,2012-11-09
AEE,2013-02-20
AEE,2013-05-02
AEE,2013-08-01
AEE,2013-11-07
AEE,2014-02-21
AEE,2014-05-08
AEE,2014-08-05
AEE,2014-11-06
AEE,2015-02-25
AEE,2015-05-07
AEE,2015-07-31
AEE,2015-11-06
AEE,2016-02-19
AEE,2016-05-10
AEE,2016-08-05
AEE,2016-11-04
AEE,2017-02-16
AEE,2017-05-04
AEE,2017-08-04
AEE,2017-11-03
AEE,2018-02-16
AEE,2018-05-09
AEE,2018-08-03
AEE,2018-10-31
AEE,2019-02-14
AEE,2019-05-09
AEE,2019-08-02
AEE,2019-11-08
AEE,2020-02-26
AEE,2020-05-11
AEE,2020-08-06
AEE,2020-11-04
AEE,2021-02-18
AEE,2021-05-10
AEE,2021-08-05
AEE,2021-11-03
AEE,2022-02-17
AEE,2022-05-05
AEE,2022-08-04
AEE,2022-11-03
AEE,2023-02-15
AEE,2023-05-04
AEE,2023-08-02
AEE,2023-11-08
AEE,2024-02-22
AEE,2024-05-02
AEE,2024-08-01
AEE,2024-11-06
AEE,2025-02-13
AEE,2025-05-01
AEE,2025-07-31
AEE,2025-11-05
AEE,2026-02-11
AEE,2026-05-05
AEP,1996-04-22
AEP,1996-07-18
AEP,1996-10-23
AEP,1997-01-29
AEP,1997-04-23
AEP,1997-07-23
AEP,1997-10-27
AEP,1998-01-28
AEP,1998-04-21
AEP,1998-07-21
AEP,1998-10-27
AEP,1999-01-26
AEP,1999-04-27
AEP,1999-07-27
AEP,1999-10-26
AEP,2000-01-25
AEP,2000-04-25
AEP,2000-07-26
AEP,2000-10-24
AEP,2001-01-23
AEP,2001-04-24
